root	runner	action	mode	class	family	reason	destination	first_line
testdir:abi/part_live.go	testdir	run	interpreted	excluded	unsafe-reinterpretation	unsafe.Pointer memory reinterpretation: the interpreter has no native memory model	recorded-limitation:D7-unsafe-pointer	abi/part_live.go:34:34: BASHPP-EEXPR-FORM: unsupported scalar expression *syntax.BashPPAddressExpr
testdir:abi/part_live_2.go	testdir	run	interpreted	excluded	unsafe-reinterpretation	unsafe.Pointer memory reinterpretation: the interpreter has no native memory model	recorded-limitation:D7-unsafe-pointer	abi/part_live_2.go:39:34: BASHPP-EEXPR-FORM: unsupported scalar expression *syntax.BashPPAddressExpr
testdir:abi/result_live.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:asmhdr.go	testdir	buildrundir	interpreted	excluded	assembly-companion	execute-phase .s companion: assembly must run natively	recorded-limitation:2026-09-24-g5	Bash++ backend unsupported generate phase: compile input "<run>" is not a Go source file
testdir:bloop.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:bounds.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:checkbce.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:closure3.go	testdir	errorcheckandrundir	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:2026-09-24-g5	main.go:15: missing error "can inline main.func1"
testdir:cmp.go	testdir	run	interpreted	excluded	unsafe-reinterpretation	unsafe.Pointer memory reinterpretation: the interpreter has no native memory model	recorded-limitation:D7-unsafe-pointer	cmp.go:20:70: BASHPP-EEXPR-FORM: unsupported scalar expression *syntax.BashPPAddressExpr
testdir:codegen/addrcalc.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/alloc.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/append.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/arithmetic.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/atomics.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/bits.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/bmi.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v3
testdir:codegen/bool.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/clobberdead.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/clobberdeadreg.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/comparisons.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/condmove.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/constants.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/copy.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
